ISIN,COMPANY,NSE_SYMBOL,BSE_SYMBOL,BSE_CODE,EXCHANGE,PRICE_SOURCE,PRICE_TICKER,LATEST_PRICE,PRICE_DATE,NSE_LISTING_DATE,BSE_LISTING_DATE
INE04TZ01018,Ethos Limited,ETHOSLTD,ETHOSLTD,543532,NSE+BSE,NSE/Yahoo Finance,ETHOSLTD.NS,,,30-MAY-2022,
INE0KCE01017,Eureka Forbes Limited,EUREKAFORB,EUREKAFORB#,143482,NSE+BSE,NSE/Yahoo Finance,EUREKAFORB.NS,,,11-SEP-2024,
INE546V01010,Euro India Fresh Foods Limited,EIFFL,EIFFL,201720,NSE+BSE,NSE/Yahoo Finance,EIFFL.NS,,,12-OCT-2021,
INE505V01016,Euro Panel Products Limited,EUROBOND,EUROBOND,544461,NSE+BSE,NSE/Yahoo Finance,EUROBOND.NS,,,01-AUG-2025,
INE198501012,Euro Pratik Sales Limited,EUROPRATIK,EUROPRATIK,544519,NSE+BSE,NSE/Yahoo Finance,EUROPRATIK.NS,,,23-SEP-2025,
INE022C01012,Eurotex Industries and Exports Limited,EUROTEXIND,EUROTEXIND,521014,NSE+BSE,NSE/Yahoo Finance,EUROTEXIND.NS,,,31-JAN-1996,
INE128A01029,Eveready Industries India Limited,EVEREADY,EVEREADY,531508,NSE+BSE,NSE/Yahoo Finance,EVEREADY.NS,,,27-APR-2005,
INE295A01018,Everest Industries Limited,EVERESTIND,EVERESTIND,508906,NSE+BSE,NSE/Yahoo Finance,EVERESTIND.NS,,,29-MAR-1995,
INE184H01027,Everest Kanto Cylinder Limited,EKC,EKC,532684,NSE+BSE,NSE/Yahoo Finance,EKC.NS,,,15-DEC-2005,
INE369A01029,Excel Industries Limited,EXCELINDUS,EXCELINDUS,500650,NSE+BSE,NSE/Yahoo Finance,EXCELINDUS.NS,,,16-JUN-2004,
INE606N01019,Excelsoft Technologies Limited,EXCELSOFT,EXCELSOFT,544617,NSE+BSE,NSE/Yahoo Finance,EXCELSOFT.NS,,,26-NOV-2025,
INE777F01014,Exicom Tele-Systems Limited,EXICOM,EXICOM,544133,NSE+BSE,NSE/Yahoo Finance,EXICOM.NS,,,05-MAR-2024,
INE302A01020,Exide Industries Limited,EXIDEIND,EXIDEIND#,100086,NSE+BSE,NSE/Yahoo Finance,EXIDEIND.NS,,,17-JUN-2003,
INE201K01015,Expleo Solutions Limited,EXPLEOSOL,EXPLEOSOL,533121,NSE+BSE,NSE/Yahoo Finance,EXPLEOSOL.NS,,,26-OCT-2009,
INE0GFE01026,Exxaro Tiles Limited,EXXARO,EXXARO,543327,NSE+BSE,NSE/Yahoo Finance,EXXARO.NS,,,16-AUG-2021,
INE512B01022,FCS Software Solutions Limited,FCSSOFT,FCSSOFT,532666,NSE+BSE,NSE/Yahoo Finance,FCSSOFT.NS,,,21-SEP-2005,
